stationID,name,longitude,latitude
3723,"Cadman Plaza E & Johnson St",-73.99015724658966,40.695317277669034
3905,"4 Ave & E 12 St",-73.99011,40.732647
497,"E 17 St & Broadway",-73.99009296,40.73704984
477,"W 41 St & 8 Ave",-73.9900262,40.75640548
401,"Allen St & Rivington St",-73.98997825,40.72019576
307,"Canal St & Rutgers St",-73.98990025,40.71427487
3399,"7 St & 3 Ave",-73.98983001708984,40.67260298150126
439,"E 4 St & 2 Ave",-73.98978041,40.7262807
321,"Cadman Plaza E & Red Cross Pl",-73.98971773,40.69991755
402,"Broadway & E 22 St",-73.98955109,40.7403432
3440,"Fulton St & Adams St",-73.98949474096298,40.692418292578466
2000,"Front St & Washington St",-73.98940236,40.70255088
3697,"W 64 St & Thelonious Monk Circle",-73.98918695747852,40.77515953434235
3641,"Broadway & W 25 St",-73.98918628692627,40.74286877312112
3699,"W 50 St & 9 Ave",-73.98917958140373,40.763604677958625
310,"State St & Smith St",-73.98912867,40.68926942
312,"Allen St & Stanton St",-73.989111,40.722055
3421,"Hoyt St & Warren St",-73.98901629,40.6843549
3319,"14 St & 5 Ave",-73.98895053,40.666287
483,"E 12 St & 3 Ave",-73.98889957,40.73223272
3173,"Riverside Blvd & W 67 St",-73.98888587951659,40.777507027547976
3403,"4 Ave & 9 St",-73.98876585,40.6705135
513,"W 56 St & 10 Ave",-73.988639,40.768254
2021,"W 45 St & 8 Ave",-73.98859651,40.75929124
486,"Broadway & W 29 St",-73.98855723,40.7462009
505,"6 Ave & W 33 St",-73.98848395,40.74901271
3799,"6 Ave & W 34 St",-73.98805,40.74964
422,"W 59 St & 10 Ave",-73.988038,40.770513
311,"Norfolk St & Broome St",-73.98802084,40.7172274
3463,"E 16 St & Irving Pl",-73.98797392845154,40.735367055605394
450,"W 49 St & 8 Ave",-73.98788205,40.76227205
340,"Madison St & Clinton St",-73.98776323,40.71269042
3373,"3 St & 3 Ave",-73.98775226,40.6750705
3407,"Union St & Nevins St",-73.98765474557877,40.67909799721684
267,"Broadway & W 36 St",-73.98765428,40.75097711
3410,"Dean St & Hoyt St",-73.98759104,40.6864442
362,"Broadway & W 37 St",-73.98753523,40.75172632
503,"E 20 St & Park Ave",-73.98751968,40.73827428
533,"Broadway & W 38 St",-73.98721619,40.75299641
392,"Jay St & Tech Pl",-73.987167,40.695065
236,"St Marks Pl & 2 Ave",-73.98713956,40.7284186
